graph_number,GW,greedy,qaoa(p=1),qaoa(p=2),qaoa(p=3)
1,6,6,6,6,6
2,6,6,6,6,6
3,6,6,6,6,5
4,6,5,5,5,6
5,6,6,6,6,6
6,6,6,6,6,6
7,7,7,7,7,7
8,7,6,7,7,6
9,6,6,4,6,6
10,6,6,6,6,6
11,7,7,7,7,7
12,7,6,7,7,7
13,8,8,2,8,8
14,8,6,6,8,8
15,8,8,6,8,8
16,8,6,2,8,8
17,9,9,8,8,8
18,9,6,8,8,9
19,10,10,10,10,10
20,10,6,10,10,10
21,6,6,6,6,6
22,6,6,6,6,6
23,6,6,4,5,6
24,6,5,5,6,6
25,6,6,6,6,6
26,6,6,6,6,6
27,6,6,6,6,6
28,6,6,4,6,6
29,6,6,4,6,6
30,7,7,5,5,7
31,7,6,6,7,7
32,7,7,6,6,7
33,7,7,6,6,7
34,6,6,5,6,6
35,6,6,4,6,6
36,7,7,7,7,7
37,7,6,5,7,7
38,7,7,6,6,7
39,7,7,6,5,7
40,8,8,7,8,8
41,8,6,8,7,8
42,8,8,5,8,8
43,8,8,8,8,8
44,6,6,6,6,6
45,7,6,7,7,7
46,7,7,7,7,7
47,6,6,6,6,6
48,6,6,4,4,6
49,6,6,6,6,6
50,6,6,6,6,6
51,7,7,7,7,7
52,7,6,6,7,7
53,7,6,5,4,7
54,6,7,7,7,7
55,6,6,7,7,7
56,7,7,7,7,7
57,7,6,7,7,6
58,7,7,7,7,5
59,8,7,6,8,8
60,8,7,8,7,6
61,6,6,6,6,6
62,7,7,5,5,7
63,7,6,5,5,7
64,7,7,6,6,7
65,7,7,7,7,7
66,7,6,7,7,4
67,7,6,7,7,7
68,7,7,7,7,7
69,8,8,8,8,8
70,8,6,8,8,8
71,8,6,4,5,8
72,8,7,6,6,8
73,8,7,8,8,8
74,5,7,6,8,8
75,9,8,5,9,9
76,9,7,5,6,9
77,8,6,8,8,8
78,8,7,8,8,8
79,8,6,6,6,8
80,8,7,7,8,8
81,9,9,6,8,9
82,9,6,6,7,8
83,9,6,8,8,9
84,9,7,8,9,8
85,10,9,4,9,10
86,10,7,6,6,10
87,7,5,7,7,7
88,6,6,6,6,6
89,6,6,6,6,6
90,6,6,6,4,6
91,7,7,6,7,7
92,7,6,7,5,7
93,7,7,3,6,7
94,7,6,6,6,7
95,7,6,6,7,7
96,8,8,8,8,8
97,8,7,8,8,8
98,8,7,6,8,8
99,7,7,7,7,7
100,8,8,4,4,8
101,8,6,8,8,8
102,7,7,6,6,6
103,8,7,7,7,8
104,7,7,8,8,8
105,7,8,8,8,8
106,8,8,8,8,8
107,7,6,5,7,7
108,6,6,6,6,6
109,7,7,7,6,7
110,7,7,6,5,7
111,7,6,6,5,7
112,7,7,5,5,7
113,7,7,6,7,7
114,7,6,7,7,7
115,7,6,7,7,7
116,7,7,7,7,7
117,8,8,4,4,8
118,8,6,5,8,8
119,8,7,6,8,8
120,7,7,5,5,7
121,7,7,6,6,7
122,7,7,7,7,7
123,8,7,8,8,8
124,7,6,7,7,4
125,8,8,8,6,8
126,8,7,8,8,8
127,8,7,4,8,8
128,8,8,6,6,6
129,6,6,3,7,7
130,7,6,4,7,7
131,8,8,5,8,8
132,8,6,8,8,8
133,6,6,8,8,8
134,8,7,8,7,8
135,8,6,6,4,8
136,8,6,4,8,8
137,7,7,4,8,8
138,7,7,7,6,7
139,8,6,4,8,8
140,8,6,5,8,8
141,8,7,8,6,8
142,9,9,6,5,9
143,9,6,6,9,9
144,9,6,4,9,9
145,9,7,6,6,7
146,8,7,8,8,8
147,9,7,7,7,8
148,8,8,7,5,8
149,9,7,6,6,9
150,9,8,6,8,9
151,9,8,8,8,9
152,9,8,8,8,9
153,7,7,7,7,7
154,8,8,8,8,8
155,8,7,6,8,8
156,8,8,7,8,8
157,8,7,8,8,8
158,8,7,8,8,8
159,8,7,8,8,8
160,8,8,8,8,7
161,7,7,5,8,8
162,7,8,5,8,8
163,8,8,6,8,8
164,8,7,8,8,8
165,8,7,7,8,8
166,8,8,8,8,8
167,9,9,5,9,9
168,9,7,5,9,9
169,9,7,7,9,9
170,8,8,9,9,9
171,8,8,8,8,8
172,9,7,6,6,9
173,8,8,8,8,9
174,9,8,7,9,9
175,7,8,8,9,8
176,10,10,4,6,10
177,10,7,4,10,10
178,10,7,6,10,10
179,10,8,6,6,8
180,10,9,6,4,10
181,10,8,8,8,9
