graph_number,GW,greedy,qaoa(p=1),qaoa(p=2),qaoa(p=3)
1,7,7,7,7,7
2,7,7,7,7,7
3,7,7,7,7,7
4,7,6,6,6,7
5,7,7,7,7,7
6,7,7,7,7,7
7,8,8,8,8,8
8,8,7,8,8,8
9,7,6,6,7,6
10,7,7,7,7,7
11,7,7,7,7,7
12,8,8,8,8,8
13,8,7,8,8,8
14,9,9,9,9,9
15,9,7,9,9,9
16,8,8,8,8,6
17,8,7,8,8,8
18,9,9,9,6,9
19,9,7,9,9,9
20,10,10,8,8,10
21,10,7,7,8,10
22,10,10,10,8,10
23,10,7,8,10,8
24,11,11,10,10,10
25,11,7,10,10,6
26,12,12,12,12,12
27,12,7,12,12,12
28,7,7,7,7,7
29,7,7,7,7,7
30,7,7,3,7,7
31,7,6,6,6,7
32,7,7,5,7,7
33,7,7,7,7,7
34,7,7,7,7,7
35,7,7,4,7,7
36,7,7,7,7,7
37,8,8,5,5,8
38,8,7,8,8,8
39,8,8,6,6,8
40,8,8,5,8,8
41,7,7,7,7,7
42,7,7,7,7,7
43,7,7,7,7,7
44,7,7,7,7,7
45,7,7,7,7,7
46,8,8,8,8,8
47,8,7,8,8,8
48,8,8,2,4,8
49,8,8,6,7,8
50,9,9,1,8,9
51,9,7,9,7,9
52,9,9,8,9,9
53,9,9,8,8,9
54,8,8,6,6,8
55,8,8,7,8,8
56,9,9,7,7,9
57,9,7,8,8,9
58,9,9,8,8,9
59,9,9,8,8,9
60,10,10,9,9,10
61,10,7,9,9,10
62,10,10,10,10,10
63,10,10,10,10,10
64,7,7,7,7,7
65,8,7,8,7,8
66,7,8,8,8,8
67,7,7,7,7,7
68,7,7,4,7,7
69,7,7,7,7,7
70,7,7,7,7,7
71,7,7,7,7,7
72,8,8,8,8,8
73,8,7,8,7,8
74,7,7,8,8,8
75,8,8,7,7,8
76,7,7,7,7,7
77,7,7,7,7,7
78,7,7,7,7,7
79,8,8,8,8,8
80,8,7,8,8,8
81,7,8,8,8,8
82,8,7,6,8,8
83,8,8,8,8,8
84,9,8,7,9,9
85,9,8,7,9,9
86,7,6,7,5,7
87,8,7,8,8,8
88,7,7,7,7,7
89,8,8,8,5,8
90,8,8,8,8,8
91,8,7,8,8,8
92,8,7,2,8,8
93,8,8,8,6,8
94,7,7,7,7,7
95,7,7,7,7,7
96,8,8,8,7,8
97,8,8,8,8,8
98,8,7,8,8,8
99,8,7,6,8,8
100,8,8,8,8,8
101,9,9,5,9,9
102,9,7,9,9,9
103,9,7,9,9,9
104,9,8,6,9,9
105,8,7,8,8,8
106,7,8,8,8,8
107,9,8,9,9,9
108,9,8,7,9,9
109,9,7,9,7,9
110,9,8,6,9,9
111,10,9,10,10,10
112,10,8,6,10,10
113,8,7,6,6,8
114,8,8,6,6,8
115,9,7,8,8,9
116,8,8,8,8,9
117,8,7,8,8,8
118,8,8,6,8,8
119,9,9,9,9,9
120,9,7,5,9,9
121,9,7,9,9,9
122,9,8,9,9,9
123,10,10,6,6,10
124,10,7,10,6,10
125,10,7,8,8,10
126,9,8,8,9,9
127,10,9,6,10,10
128,10,8,10,10,7
129,11,10,4,11,11
130,11,8,5,11,11
131,10,7,10,10,10
132,8,8,10,10,10
133,10,7,4,8,10
134,10,8,8,8,10
135,11,11,3,8,11
136,11,7,8,8,11
137,11,7,10,10,11
138,11,8,10,10,10
139,12,11,8,8,12
140,12,8,4,11,12
141,7,6,7,7,7
142,7,6,7,7,7
143,8,6,7,8,8
144,7,7,7,7,7
145,7,7,7,7,7
146,7,7,7,7,7
147,7,7,7,7,7
148,8,8,4,6,8
149,8,7,7,7,7
150,8,8,6,6,8
151,8,7,8,8,8
152,8,7,6,8,8
153,9,9,8,8,8
154,9,8,8,8,9
155,9,8,8,8,9
156,9,7,9,9,9
157,8,8,8,8,8
158,8,8,8,8,8
159,8,9,6,8,9
160,8,6,8,8,7
161,9,7,9,9,9
162,8,8,8,8,8
